ticker,name,company_id,publisher_status_id,company_type_id,industry_groups_id,company_nature_id,created_at,audited
صنعتی و معدنی توسعه فراگیر سناباد,صنعتی و معدنی توسعه فراگیر سناباد,791447.0,4,-1,-1,1000000,2025-10-29 09:11:47,False
صنعتی و معدنی سیمان تجارت مهریز,گروه صنعتی و معدنی سیمان تجارت مهریز,811299.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی و معدنی مولیبدن مس آذربایجان,صنعتی و معدنی مولیبدن مس آذربایجان,812006.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنعتی ومعدنی آتیه فولاد سنگان,صنعتی ومعدنی آتیه فولاد سنگان,811855.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
صنفت,صندوق های بازنشستگی پس انداز و رفاه کارکنان صنعت نفت,791033.0,4,1,-1,1000002,2025-10-29 09:11:47,False
صنم,صندوق در صندوق صنم,46430812.0,3,1,46,1000002,2025-10-29 09:11:47,False
صکارون,توسعه نفت و گاز صبا کارون,791026.0,4,1,-1,1000005,2025-10-29 09:11:47,False
ضمان,تضمین اصل سرمایه کاریزما,46430875.0,3,0,46,1000002,2025-10-29 09:11:47,False
طارم,صنایع مس طارم,751458.0,4,-1,-1,1000000,2025-10-29 09:11:47,False
طبیب درمان پژوهش قلب,طبیب درمان پژوهش قلب,810949.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی مهندسی پارس پنگان,طراحی مهندسی پارس پنگان,791462.0,4,-1,-1,1000000,2025-10-29 09:11:47,False
طراحی مهندسی توربو کمپرسور نفت اسیا,طراحی مهندسی توربو کمپرسور نفت اسیا,791125.0,4,-1,-1,1000000,2025-10-29 09:11:47,False
طراحی مهندسی نوآور تدبیر,طراحی مهندسی تروند تدبیر,810789.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی مهندسی و تامین قطعات ایران خودرو,طراحی مهندسی و تامین قطعات ایران خودرو,810802.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی مهندسی و تامین قطعات و مواد شیمیایی,طراحی مهندسی و تامین قطعات و مواد شیمیایی صنایع پتروشیمی,910975.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی مهندسی و ساخت تجهیزات و ابزارآلات سایپا,طراحی مهندسی و ساخت تجهیزات و ابزارآلات سایپا,811888.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی مهندسی وتامین قطعات خودروقشم,طراحی مهندسی وتامین قطعات خودروقشم,812050.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی و ساخت سازه های دریایی مبین سازه گستر خلیج فارس,طراحی و ساخت سازه های دریایی مبین سازه گستر خلیج فارس,810367.0,-1,-1,-1,1000000,2025-10-29 09:11:47,False
طراحی و ساختمان نفت,طراحی و ساختمان نفت,810591.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طراحی و مهندسی صنایع انرژی,طراحی و مهندسی صنایع انرژی,811177.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طرح اندیشه بهساز ملت,طرح و اندیشه بهساز ملت,811310.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طریق القدس(منحل شده),طریق القدس(منحل شده),810363.0,5,-1,-1,1000005,2025-10-29 09:11:47,False
طلای توسعه ی معادن کوثر,طلای توسعه ی معادن کوثر,810821.0,-1,-1,-1,1000005,2025-10-29 09:11:47,False
طلای کردستان,توسعه معادن طلای کردستان,751333.0,4,1,-1,1000000,2025-10-29 09:11:47,False
طوس,افق تامین انرژی طوس,751022.0,4,1,-1,1000000,2025-10-29 09:11:47,False
طیور فارس,مجتمع طیور فارس,791048.0,4,1,-1,1000000,2025-10-29 09:11:47,False
عالیس,بهار رز عالیس چناران,422011.0,1,1,42,1000000,2025-10-29 09:11:47,False
عدالت بازار,اختصاصی بازارگردانی توسعه سهام عدالت,46430819.0,3,1,46,1000002,2025-10-29 09:11:47,False
عدم,خدمات بازرگانی عماد نفت خزر خارک,791467.0,4,-1,-1,1000005,2025-10-29 09:11:47,False
عرش,عرش میلاد شهر,46431133.0,3,1,46,1000002,2025-10-29 09:11:47,False
عرصه تجارت,عرصه تجارت ایرانیان,791271.0,4,-1,-1,1000005,2025-10-29 09:11:47,False
